Order_ID,Order_Date,Year,Month,Month_Name,Year_Month,Customer_Name,Segment,Product_Name,Category,Region,Quantity,Discount,Sales,Profit,Profit_Margin_Pct,Sales_Band
ORD-00107,2024-01-01,2024,1,Jan,2024-01,Customer_147,Corporate,Table,Furniture,North,2,0.05,26234.66,3081.71,11.75,Medium
ORD-00875,2024-01-01,2024,1,Jan,2024-01,Customer_110,Consumer,Table,Furniture,South,4,0.15,46093.02,3169.57,6.88,Medium
ORD-00494,2024-01-01,2024,1,Jan,2024-01,Customer_298,Consumer,Printer Paper,Office Supplies,East,2,0.2,783.01,55.62,7.1,Low
ORD-01002,2024-01-01,2024,1,Jan,2024-01,Customer_023,Corporate,Laptop,Technology,South,4,0.25,175714.55,-10217.81,-5.82,Very High
ORD-00632,2024-01-02,2024,1,Jan,2024-01,Customer_092,Corporate,Notebook,Office Supplies,South,3,0.05,728.69,188.42,25.86,Low
ORD-01227,2024-01-02,2024,1,Jan,2024-01,Customer_109,Home Office,Mouse,Technology,South,5,0.0,5925.5,1308.72,22.09,Low
ORD-00370,2024-01-03,2024,1,Jan,2024-01,Customer_101,Consumer,Notebook,Office Supplies,South,7,0.0,1732.88,494.95,28.56,Low
ORD-01234,2024-01-04,2024,1,Jan,2024-01,Customer_033,Corporate,Mouse,Technology,South,4,0.1,4112.91,579.08,14.08,Low
ORD-01215,2024-01-05,2024,1,Jan,2024-01,Customer_234,Consumer,Mouse,Technology,South,6,0.0,7342.18,1532.32,20.87,Low
ORD-01221,2024-01-06,2024,1,Jan,2024-01,Customer_293,Consumer,Monitor,Technology,East,7,0.05,119803.06,19503.13,16.28,High
ORD-00492,2024-01-06,2024,1,Jan,2024-01,Customer_080,Corporate,Desk,Furniture,South,3,0.05,38820.69,5675.91,14.62,Medium
ORD-01477,2024-01-06,2024,1,Jan,2024-01,Customer_280,Consumer,Printer Paper,Office Supplies,East,5,0.15,2076.8,344.35,16.58,Low
ORD-00158,2024-01-06,2024,1,Jan,2024-01,Customer_240,Consumer,Office Chair,Furniture,South,4,0.2,26716.78,-1268.93,-4.75,Medium
ORD-01015,2024-01-08,2024,1,Jan,2024-01,Customer_077,Consumer,Monitor,Technology,West,6,0.15,83763.86,8309.33,9.92,High
ORD-01414,2024-01-08,2024,1,Jan,2024-01,Customer_164,Home Office,Printer Paper,Office Supplies,North,3,0.2,1113.59,87.57,7.86,Low
ORD-00945,2024-01-08,2024,1,Jan,2024-01,Customer_077,Corporate,Office Chair,Furniture,South,3,0.1,22412.45,1199.43,5.35,Medium
ORD-01330,2024-01-10,2024,1,Jan,2024-01,Customer_254,Consumer,Printer Paper,Office Supplies,South,4,0.25,1307.49,38.0,2.91,Low
ORD-00976,2024-01-11,2024,1,Jan,2024-01,Customer_186,Home Office,Bookshelf,Furniture,East,6,0.2,38353.31,-1331.21,-3.47,Medium
ORD-00030,2024-01-11,2024,1,Jan,2024-01,Customer_040,Consumer,Office Chair,Furniture,West,2,0.15,14142.81,492.25,3.48,Medium
ORD-01235,2024-01-11,2024,1,Jan,2024-01,Customer_297,Consumer,Mouse,Technology,North,4,0.0,4626.62,1069.41,23.11,Low
ORD-00368,2024-01-12,2024,1,Jan,2024-01,Customer_226,Corporate,Webcam,Technology,South,5,0.2,12108.49,189.46,1.56,Medium
ORD-00813,2024-01-12,2024,1,Jan,2024-01,Customer_059,Consumer,Printer Paper,Office Supplies,West,5,0.2,1941.13,187.73,9.67,Low
ORD-00596,2024-01-15,2024,1,Jan,2024-01,Customer_161,Consumer,Monitor,Technology,East,3,0.1,53090.78,6317.4,11.9,High
ORD-01354,2024-01-15,2024,1,Jan,2024-01,Customer_110,Consumer,Notebook,Office Supplies,North,7,0.25,1324.9,27.08,2.04,Low
ORD-00150,2024-01-15,2024,1,Jan,2024-01,Customer_060,Consumer,Stapler,Office Supplies,South,6,0.2,1543.86,182.54,11.82,Low
ORD-01075,2024-01-15,2024,1,Jan,2024-01,Customer_106,Consumer,Pen Set,Office Supplies,East,4,0.1,604.83,132.99,21.99,Low
ORD-01025,2024-01-16,2024,1,Jan,2024-01,Customer_164,Corporate,Bookshelf,Furniture,South,2,0.2,13182.68,-176.5,-1.34,Medium
ORD-01484,2024-01-16,2024,1,Jan,2024-01,Customer_230,Home Office,Cabinet,Furniture,West,3,0.05,35125.98,4560.54,12.98,Medium
ORD-01226,2024-01-17,2024,1,Jan,2024-01,Customer_187,Consumer,Mouse,Technology,East,2,0.0,2440.35,557.95,22.86,Low
ORD-00652,2024-01-18,2024,1,Jan,2024-01,Customer_298,Corporate,Cabinet,Furniture,South,5,0.05,54426.32,6269.49,11.52,High
ORD-00897,2024-01-19,2024,1,Jan,2024-01,Customer_219,Consumer,Bookshelf,Furniture,West,3,0.05,23513.26,2811.82,11.96,Medium
ORD-00085,2024-01-19,2024,1,Jan,2024-01,Customer_135,Home Office,Monitor,Technology,South,5,0.05,87183.96,18422.76,21.13,High
ORD-00366,2024-01-19,2024,1,Jan,2024-01,Customer_140,Consumer,Cabinet,Furniture,West,2,0.0,24564.81,4134.33,16.83,Medium
ORD-00305,2024-01-19,2024,1,Jan,2024-01,Customer_227,Consumer,Laptop,Technology,East,3,0.25,158784.39,-6407.12,-4.04,Very High
ORD-00189,2024-01-20,2024,1,Jan,2024-01,Customer_256,Corporate,Printer Paper,Office Supplies,North,2,0.1,804.45,186.35,23.16,Low
ORD-01109,2024-01-21,2024,1,Jan,2024-01,Customer_170,Consumer,Office Chair,Furniture,East,4,0.05,37223.74,5724.27,15.38,Medium
ORD-00060,2024-01-22,2024,1,Jan,2024-01,Customer_043,Consumer,Folders,Office Supplies,West,4,0.2,661.51,46.59,7.04,Low
ORD-01287,2024-01-22,2024,1,Jan,2024-01,Customer_212,Consumer,Keyboard,Technology,South,6,0.0,15143.42,3146.34,20.78,Medium
ORD-00521,2024-01-23,2024,1,Jan,2024-01,Customer_053,Home Office,Desk,Furniture,East,5,0.0,78838.17,14966.41,18.98,High
ORD-00547,2024-01-23,2024,1,Jan,2024-01,Customer_164,Corporate,Mouse,Technology,East,3,0.05,3302.24,496.44,15.03,Low
ORD-01242,2024-01-24,2024,1,Jan,2024-01,Customer_152,Home Office,Pen Set,Office Supplies,North,6,0.05,925.75,250.21,27.03,Low
ORD-00888,2024-01-24,2024,1,Jan,2024-01,Customer_115,Corporate,Webcam,Technology,East,3,0.15,7263.95,781.97,10.77,Low
ORD-00289,2024-01-24,2024,1,Jan,2024-01,Customer_113,Corporate,Monitor,Technology,South,3,0.15,42307.56,4994.3,11.8,Medium
ORD-01419,2024-01-25,2024,1,Jan,2024-01,Customer_153,Corporate,Stapler,Office Supplies,East,4,0.0,1243.38,348.19,28.0,Low
ORD-00358,2024-01-25,2024,1,Jan,2024-01,Customer_286,Corporate,Printer Paper,Office Supplies,North,6,0.2,2063.75,272.75,13.22,Low
ORD-00936,2024-01-26,2024,1,Jan,2024-01,Customer_217,Corporate,Webcam,Technology,West,1,0.05,3057.19,599.23,19.6,Low
ORD-00104,2024-01-27,2024,1,Jan,2024-01,Customer_031,Home Office,Printer Paper,Office Supplies,North,6,0.0,2562.88,781.74,30.5,Low
ORD-01493,2024-01-27,2024,1,Jan,2024-01,Customer_026,Home Office,Printer Paper,Office Supplies,East,7,0.0,3008.16,846.48,28.14,Low
ORD-00061,2024-01-27,2024,1,Jan,2024-01,Customer_016,Consumer,Mouse,Technology,West,2,0.15,2163.0,219.64,10.15,Low
ORD-00070,2024-01-27,2024,1,Jan,2024-01,Customer_143,Consumer,Desk,Furniture,West,4,0.05,57826.02,7650.4,13.23,High
ORD-00850,2024-01-28,2024,1,Jan,2024-01,Customer_018,Consumer,Table,Furniture,West,2,0.15,23173.45,545.96,2.36,Medium
ORD-00528,2024-01-29,2024,1,Jan,2024-01,Customer_028,Corporate,Desk,Furniture,East,5,0.1,70901.33,6697.25,9.45,High
ORD-00549,2024-01-30,2024,1,Jan,2024-01,Customer_085,Corporate,Stapler,Office Supplies,West,4,0.15,1049.12,149.6,14.26,Low
ORD-00293,2024-01-31,2024,1,Jan,2024-01,Customer_165,Consumer,Folders,Office Supplies,East,7,0.0,1489.58,375.24,25.19,Low
ORD-00733,2024-01-31,2024,1,Jan,2024-01,Customer_065,Consumer,Printer Paper,Office Supplies,East,1,0.25,369.67,20.47,5.54,Low
ORD-00329,2024-02-01,2024,2,Feb,2024-02,Customer_219,Consumer,Headphones,Technology,East,7,0.25,19317.65,-727.13,-3.76,Medium
ORD-00856,2024-02-01,2024,2,Feb,2024-02,Customer_286,Consumer,Pen Set,Office Supplies,East,4,0.1,597.23,112.27,18.8,Low
ORD-00080,2024-02-02,2024,2,Feb,2024-02,Customer_088,Consumer,Webcam,Technology,West,2,0.1,5493.36,735.0,13.38,Low
ORD-01103,2024-02-03,2024,2,Feb,2024-02,Customer_250,Corporate,Monitor,Technology,West,2,0.2,28441.67,1385.18,4.87,Medium
ORD-01077,2024-02-03,2024,2,Feb,2024-02,Customer_289,Consumer,Keyboard,Technology,East,6,0.1,14371.14,2285.55,15.9,Medium
ORD-00443,2024-02-04,2024,2,Feb,2024-02,Customer_118,Consumer,Keyboard,Technology,West,3,0.05,6654.67,992.74,14.92,Low
ORD-00473,2024-02-04,2024,2,Feb,2024-02,Customer_008,Consumer,Headphones,Technology,South,2,0.15,5440.16,274.93,5.05,Low
ORD-00288,2024-02-04,2024,2,Feb,2024-02,Customer_042,Consumer,Headphones,Technology,North,4,0.1,12384.17,1632.44,13.18,Medium
