Order_ID,Order_Date,Customer_Name,Segment,Product_Name,Category,Region,Quantity,Discount,Sales,Profit
ORD-00001,2024-11-16,Customer_210,Home Office,Headphones,Technology,East,1,0.0,3832.94,780.79
ORD-00002,2024-04-03,Customer_112,Consumer,Stapler,Office Supplies,East,4,0.25,925.9,14.08
ORD-00003,2024-06-14,Customer_020,Corporate,Bookshelf,Furniture,South,7,0.2,45979.71,-2122.57
ORD-00004,2025-12-09,Customer_234,Home Office,Pen Set,Office Supplies,North,5,0.05,849.31,229.11
ORD-00005,2025-05-13,Customer_291,Corporate,Office Chair,Furniture,East,3,0.05,24985.46,3471.59
ORD-00006,2024-04-04,,Consumer,Notebook,Office Supplies,South,3,0.15,629.49,82.08
ORD-00007,2024-08-16,Customer_242,Home Office,Cabinet,Furniture,North,4,0.1,41371.15,3127.12
ORD-00008,2024-05-25,Customer_237,Consumer,Office Chair,Furniture,West,6,0.15,47783.42,651.21
ORD-00009,2025-02-19,Customer_035,Consumer,Bookshelf,Furniture,East,2,0.15,13521.38,409.15
ORD-00010,2025-04-08,Customer_168,Corporate,Headphones,Technology,East,1,0.05,3012.99,551.69
ORD-00011,2024-10-25,Customer_071,Home Office,Pen Set,Office Supplies,South,1,0.0,172.13,50.24
ORD-00012,2025-02-10,Customer_200,Corporate,Cabinet,Furniture,North,7,0.1,80347.99,9092.41
ORD-00013,2024-03-06,Customer_139,Corporate,Office Chair,Furniture,North,5,0.0,45009.4,9128.28
ORD-00014,2024-11-21,Customer_091,Consumer,Cabinet,Furniture,South,2,0.15,19836.2,1331.36
ORD-00015,2025-12-03,Customer_210,Home Office,Office Chair,Furniture,South,4,0.05,37409.17,4399.08
ORD-00016,2024-11-24,Customer_029,Consumer,Headphones,Technology,West,1,0.25,2601.78,-39.64
ORD-00017,2025-02-26,Customer_257,Consumer,Pen Set,Office Supplies,West,4,0.2,601.28,63.07
ORD-00018,2025-03-02,Customer_026,Corporate,Mouse,Technology,North,5,0.1,4904.94,656.04
ORD-00019,2024-04-15,Customer_177,Consumer,Monitor,Technology,East,2,0.0,39060.86,8395.81
ORD-00020,2025-03-07,Customer_288,Consumer,Desk,Furniture,East,2,0.1,28526.77,3403.34
ORD-00021,2024-12-24,Customer_172,Home Office,Keyboard,Technology,East,2,0.1,4290.28,622.14
ORD-00022,2024-11-16,Customer_248,Consumer,Bookshelf,Furniture,West,3,0.2,17818.56,-524.42
ORD-00023,2025-05-05,Customer_198,Consumer,Laptop,Technology,East,2,0.15,116437.11,12941.91
ORD-00024,2024-06-17,Customer_167,Consumer,Table,Furniture,West,1,0.1,13431.07,892.1
ORD-00025,2025-11-26,Customer_155,Consumer,Pen Set,Office Supplies,North,5,0.05,929.56,243.96
ORD-00026,2024-11-13,Customer_268,Home Office,Office Chair,Furniture,South,2,0.2,15525.48,-889.03
ORD-00027,2024-08-18,Customer_199,Corporate,Mouse,Technology,South,3,0.1,2977.21,346.02
ORD-00028,2025-11-14,Customer_037,Consumer,Desk,Furniture,North,1,0.2,11167.88,14.52
ORD-00029,2025-09-30,Customer_094,Consumer,Bookshelf,Furniture,East,2,0.2,14007.88,-351.05
ORD-00030,2024-01-11,Customer_040,Consumer,Office Chair,Furniture,West,2,0.15,14142.81,492.25
ORD-00031,2025-02-28,Customer_242,Consumer,Stapler,Office Supplies,West,7,0.15,1870.32,332.81
ORD-00032,2025-11-08,Customer_091,Consumer,Office Chair,Furniture,East,7,0.1,58546.88,3259.83
ORD-00033,2025-11-06,Customer_167,Consumer,Desk,Furniture,West,5,0.15,58725.19,3702.71
ORD-00034,2025-12-06,Customer_280,Corporate,Printer Paper,Office Supplies,,2,0.2,715.3,56.86
ORD-00035,2024-03-20,Customer_240,Home Office,Notebook,Office Supplies,East,2,0.05,477.92,112.64
ORD-00036,2025-03-16,Customer_113,Consumer,Folders,Office Supplies,West,1,0.1,204.02,36.0
ORD-00037,2024-06-29,Customer_224,Consumer,Keyboard,Technology,East,7,0.2,12894.78,758.32
ORD-00038,2024-04-16,Customer_094,Home Office,Bookshelf,Furniture,South,3,0.0,26020.66,5254.64
ORD-00039,2024-04-22,Customer_007,Consumer,Monitor,Technology,East,4,0.0,67314.84,16685.26
ORD-00040,2025-05-11,Customer_096,Consumer,Bookshelf,Furniture,East,6,0.1,46440.04,2939.44
ORD-00041,2024-05-12,Customer_075,Consumer,Office Chair,Furniture,South,2,0.15,15043.76,1054.28
ORD-00042,2025-01-17,Customer_251,Consumer,Keyboard,Technology,West,1,0.0,2712.42,664.58
ORD-00043,2025-10-20,Customer_241,Home Office,Folders,Office Supplies,West,3,0.2,543.05,43.4
