Year_Month,Total_Sales,Total_Profit,Orders
2024-01,1447018.92,120622.12000000001,55
2024-02,2581423.26,247080.16,71
2024-03,1268174.33,127353.39000000001,48
2024-04,2603703.84,280183.33999999997,75
2024-05,1501717.99,84146.93,63
2024-06,2496663.43,240950.21,66
2024-07,2427316.3,210548.55,64
2024-08,2095721.8900000001,187817.2,63
2024-09,2066292.72,125184.58,60
2024-10,4559239.7299999995,615456.59,63
2024-11,2078305.77,214713.98,66
2024-12,2424862.67,281415.79,64
2025-01,2071650.98,318840.72,60
2025-02,1218261.95,79211.06,48
2025-03,2544640.27,240343.26,63
2025-04,1714725.6900000002,139393.31,68
2025-05,2538980.53,320728.72,72
2025-06,2861777.11,324569.61,78
2025-07,1457310.6400000001,176371.56,58
2025-08,2198536.41,202112.81,64
2025-09,1983068.19,108174.81,55
2025-10,1505710.32,162092.91999999998,58
2025-11,3188136.22,342317.38,58
2025-12,2876312.58,441858.37,60
